# Field(kV/cm) Polarization(microC/cm2)
-3000.000000 -1.368091
-2990.000000 -1.368091
-2980.000000 -1.368090
-2970.000000 -1.368090
-2960.000000 -1.368089
-2950.000000 -1.368089
-2940.000000 -1.368088
-2930.000000 -1.368088
-2920.000000 -1.368087
-2910.000000 -1.368087
-2900.000000 -1.368087
-2890.000000 -1.368086
-2880.000000 -1.368086
-2870.000000 -1.368085
-2860.000000 -1.368085
-2850.000000 -1.368084
-2840.000000 -1.368084
-2830.000000 -1.368083
-2820.000000 -1.368083
-2810.000000 -1.368083
-2800.000000 -1.368082
-2790.000000 -1.368082
-2780.000000 -1.368081
-2770.000000 -1.368081
-2760.000000 -1.368080
-2750.000000 -1.368080
-2740.000000 -1.368079
-2730.000000 -1.368079
-2720.000000 -1.368078
-2710.000000 -1.368078
-2700.000000 -1.368077
-2690.000000 -1.368077
-2680.000000 -1.368077
-2670.000000 -1.368076
-2660.000000 -1.368076
-2650.000000 -1.368075
-2640.000000 -1.368075
-2630.000000 -1.368074
-2620.000000 -1.368074
-2610.000000 -1.368073
-2600.000000 -1.368073
-2590.000000 -1.368072
-2580.000000 -1.368072
-2570.000000 -1.368071
-2560.000000 -1.368071
-2550.000000 -1.368070
-2540.000000 -1.368070
-2530.000000 -1.368069
-2520.000000 -1.368069
-2510.000000 -1.368068
-2500.000000 -1.368068
-2490.000000 -1.368067
-2480.000000 -1.368067
-2470.000000 -1.368066
-2460.000000 -1.368066
-2450.000000 -1.368065
-2440.000000 -1.368065
-2430.000000 -1.368064
-2420.000000 -1.368064
-2410.000000 -1.368063
-2400.000000 -1.368062
-2390.000000 -1.368062
-2380.000000 -1.368061
-2370.000000 -1.368061
-2360.000000 -1.368060
-2350.000000 -1.368060
-2340.000000 -1.368059
-2330.000000 -1.368059
-2320.000000 -1.368058
-2310.000000 -1.368057
-2300.000000 -1.368057
-2290.000000 -1.368056
-2280.000000 -1.368056
-2270.000000 -1.368055
-2260.000000 -1.368054
-2250.000000 -1.368054
-2240.000000 -1.368053
-2230.000000 -1.368053
-2220.000000 -1.368052
-2210.000000 -1.368051
-2200.000000 -1.368051
-2190.000000 -1.368050
-2180.000000 -1.368049
-2170.000000 -1.368049
-2160.000000 -1.368048
-2150.000000 -1.368047
-2140.000000 -1.368047
-2130.000000 -1.368046
-2120.000000 -1.368045
-2110.000000 -1.368045
-2100.000000 -1.368044
-2090.000000 -1.368043
-2080.000000 -1.368042
-2070.000000 -1.368042
-2060.000000 -1.368041
-2050.000000 -1.368040
-2040.000000 -1.368040
-2030.000000 -1.368039
-2020.000000 -1.368038
-2010.000000 -1.368037
-2000.000000 -1.368036
-1990.000000 -1.368036
-1980.000000 -1.368035
-1970.000000 -1.368034
-1960.000000 -1.368033
-1950.000000 -1.368032
-1940.000000 -1.368032
-1930.000000 -1.368031
-1920.000000 -1.368030
-1910.000000 -1.368029
-1900.000000 -1.368028
-1890.000000 -1.368027
-1880.000000 -1.368026
-1870.000000 -1.368025
-1860.000000 -1.368024
-1850.000000 -1.368024
-1840.000000 -1.368023
-1830.000000 -1.368022
-1820.000000 -1.368021
-1810.000000 -1.368020
-1800.000000 -1.368019
-1790.000000 -1.368018
-1780.000000 -1.368017
-1770.000000 -1.368016
-1760.000000 -1.368015
-1750.000000 -1.368013
-1740.000000 -1.368012
-1730.000000 -1.368011
-1720.000000 -1.368010
-1710.000000 -1.368009
-1700.000000 -1.368008
-1690.000000 -1.368007
-1680.000000 -1.368006
-1670.000000 -1.368004
-1660.000000 -1.368003
-1650.000000 -1.368002
-1640.000000 -1.368001
-1630.000000 -1.367999
-1620.000000 -1.367998
-1610.000000 -1.367997
-1600.000000 -1.367995
-1590.000000 -1.367994
-1580.000000 -1.367993
-1570.000000 -1.367991
-1560.000000 -1.367990
-1550.000000 -1.367988
-1540.000000 -1.367987
-1530.000000 -1.367986
-1520.000000 -1.367984
-1510.000000 -1.367982
-1500.000000 -1.367981
-1490.000000 -1.367979
-1480.000000 -1.367978
-1470.000000 -1.367976
-1460.000000 -1.367974
-1450.000000 -1.367973
-1440.000000 -1.367971
-1430.000000 -1.367969
-1420.000000 -1.367967
-1410.000000 -1.367966
-1400.000000 -1.367964
-1390.000000 -1.367962
-1380.000000 -1.367960
-1370.000000 -1.367958
-1360.000000 -1.367956
-1350.000000 -1.367954
-1340.000000 -1.367952
-1330.000000 -1.367950
-1320.000000 -1.367947
-1310.000000 -1.367945
-1300.000000 -1.367943
-1290.000000 -1.367941
-1280.000000 -1.367938
-1270.000000 -1.367936
-1260.000000 -1.367934
-1250.000000 -1.367931
-1240.000000 -1.367929
-1230.000000 -1.367926
-1220.000000 -1.367923
-1210.000000 -1.367921
-1200.000000 -1.367918
-1190.000000 -1.367915
-1180.000000 -1.367912
-1170.000000 -1.367909
-1160.000000 -1.367906
-1150.000000 -1.367903
-1140.000000 -1.367900
-1130.000000 -1.367897
-1120.000000 -1.367894
-1110.000000 -1.367890
-1100.000000 -1.367887
-1090.000000 -1.367883
-1080.000000 -1.367880
-1070.000000 -1.367876
-1060.000000 -1.367872
-1050.000000 -1.367868
-1040.000000 -1.367864
-1030.000000 -1.367860
-1020.000000 -1.367856
-1010.000000 -1.367852
-1000.000000 -1.367848
-990.000000 -1.367843
-980.000000 -1.367839
-970.000000 -1.367834
-960.000000 -1.367829
-950.000000 -1.367824
-940.000000 -1.367819
-930.000000 -1.367814
-920.000000 -1.367809
-910.000000 -1.367803
-900.000000 -1.367797
-890.000000 -1.367792
-880.000000 -1.367786
-870.000000 -1.367780
-860.000000 -1.367773
-850.000000 -1.367767
-840.000000 -1.367760
-830.000000 -1.367753
-820.000000 -1.367746
-810.000000 -1.367739
-800.000000 -1.367731
-790.000000 -1.367724
-780.000000 -1.367716
-770.000000 -1.367708
-760.000000 -1.367699
-750.000000 -1.367690
-740.000000 -1.367681
-730.000000 -1.367672
-720.000000 -1.367663
-710.000000 -1.367653
-700.000000 -1.367642
-690.000000 -1.367632
-680.000000 -1.367621
-670.000000 -1.367610
-660.000000 -1.367598
-650.000000 -1.367586
-640.000000 -1.367573
-630.000000 -1.367560
-620.000000 -1.367547
-610.000000 -1.367533
-600.000000 -1.367518
-590.000000 -1.367503
-580.000000 -1.367488
-570.000000 -1.367472
-560.000000 -1.367455
-550.000000 -1.367437
-540.000000 -1.367419
-530.000000 -1.367400
-520.000000 -1.367381
-510.000000 -1.367360
-500.000000 -1.367339
-490.000000 -1.367317
-480.000000 -1.367293
-470.000000 -1.367269
-460.000000 -1.367244
-450.000000 -1.367218
-440.000000 -1.367190
-430.000000 -1.367161
-420.000000 -1.367131
-410.000000 -1.367100
-400.000000 -1.367067
-390.000000 -1.367032
-380.000000 -1.366996
-370.000000 -1.366958
-360.000000 -1.366918
-350.000000 -1.366876
-340.000000 -1.366832
-330.000000 -1.366785
-320.000000 -1.366736
-310.000000 -1.366685
-300.000000 -1.366631
-290.000000 -1.366574
-280.000000 -1.366513
-270.000000 -1.366449
-260.000000 -1.366382
-250.000000 -1.366311
-240.000000 -1.366235
-230.000000 -1.366155
-220.000000 -1.366071
-210.000000 -1.365981
-200.000000 -1.365886
-190.000000 -1.365784
-180.000000 -1.365677
-170.000000 -1.365562
-160.000000 -1.365441
-150.000000 -1.365311
-140.000000 -1.365173
-130.000000 -1.365027
-120.000000 -1.364870
-110.000000 -1.364703
-100.000000 -1.364525
-90.000000 -1.364335
-80.000000 -1.364132
-70.000000 -1.363916
-60.000000 -1.363686
-50.000000 -1.363441
-40.000000 -1.363179
-30.000000 -1.362901
-20.000000 -1.362605
-10.000000 -1.362290
0.000000 -1.180040
10.000000 1.362259
20.000000 1.362575
30.000000 1.362873
40.000000 1.363153
50.000000 1.363416
60.000000 1.363663
70.000000 1.363895
80.000000 1.364112
90.000000 1.364316
100.000000 1.364507
110.000000 1.364686
120.000000 1.364854
130.000000 1.365012
140.000000 1.365160
150.000000 1.365298
160.000000 1.365429
170.000000 1.365551
180.000000 1.365666
190.000000 1.365774
200.000000 1.365876
210.000000 1.365972
220.000000 1.366062
230.000000 1.366147
240.000000 1.366228
250.000000 1.366304
260.000000 1.366375
270.000000 1.366443
280.000000 1.366507
290.000000 1.366568
300.000000 1.366625
310.000000 1.366680
320.000000 1.366732
330.000000 1.366781
340.000000 1.366827
350.000000 1.366872
360.000000 1.366914
370.000000 1.366954
380.000000 1.366992
390.000000 1.367029
400.000000 1.367063
410.000000 1.367097
420.000000 1.367128
430.000000 1.367158
440.000000 1.367187
450.000000 1.367215
460.000000 1.367241
470.000000 1.367267
480.000000 1.367291
490.000000 1.367314
500.000000 1.367337
510.000000 1.367358
520.000000 1.367379
530.000000 1.367398
540.000000 1.367417
550.000000 1.367436
560.000000 1.367453
570.000000 1.367470
580.000000 1.367486
590.000000 1.367502
600.000000 1.367517
610.000000 1.367531
620.000000 1.367545
630.000000 1.367559
640.000000 1.367572
650.000000 1.367585
660.000000 1.367597
670.000000 1.367608
680.000000 1.367620
690.000000 1.367631
700.000000 1.367641
710.000000 1.367652
720.000000 1.367662
730.000000 1.367671
740.000000 1.367681
750.000000 1.367690
760.000000 1.367698
770.000000 1.367707
780.000000 1.367715
790.000000 1.367723
800.000000 1.367731
810.000000 1.367738
820.000000 1.367745
830.000000 1.367753
840.000000 1.367759
850.000000 1.367766
860.000000 1.367773
870.000000 1.367779
880.000000 1.367785
890.000000 1.367791
900.000000 1.367797
910.000000 1.367803
920.000000 1.367808
930.000000 1.367813
940.000000 1.367819
950.000000 1.367824
960.000000 1.367829
970.000000 1.367833
980.000000 1.367838
990.000000 1.367843
1000.000000 1.367847
1010.000000 1.367852
1020.000000 1.367856
1030.000000 1.367860
1040.000000 1.367864
1050.000000 1.367868
1060.000000 1.367872
1070.000000 1.367876
1080.000000 1.367879
1090.000000 1.367883
1100.000000 1.367886
1110.000000 1.367890
1120.000000 1.367893
1130.000000 1.367897
1140.000000 1.367900
1150.000000 1.367903
1160.000000 1.367906
1170.000000 1.367909
1180.000000 1.367912
1190.000000 1.367915
1200.000000 1.367918
1210.000000 1.367920
1220.000000 1.367923
1230.000000 1.367926
1240.000000 1.367928
1250.000000 1.367931
1260.000000 1.367933
1270.000000 1.367936
1280.000000 1.367938
1290.000000 1.367940
1300.000000 1.367943
1310.000000 1.367945
1320.000000 1.367947
1330.000000 1.367949
1340.000000 1.367952
1350.000000 1.367954
1360.000000 1.367956
1370.000000 1.367958
1380.000000 1.367960
1390.000000 1.367962
1400.000000 1.367964
1410.000000 1.367965
1420.000000 1.367967
1430.000000 1.367969
1440.000000 1.367971
1450.000000 1.367973
1460.000000 1.367974
1470.000000 1.367976
1480.000000 1.367978
1490.000000 1.367979
1500.000000 1.367981
1510.000000 1.367982
1520.000000 1.367984
1530.000000 1.367985
1540.000000 1.367987
1550.000000 1.367988
1560.000000 1.367990
1570.000000 1.367991
1580.000000 1.367993
1590.000000 1.367994
1600.000000 1.367995
1610.000000 1.367997
1620.000000 1.367998
1630.000000 1.367999
1640.000000 1.368001
1650.000000 1.368002
1660.000000 1.368003
1670.000000 1.368004
1680.000000 1.368005
1690.000000 1.368007
1700.000000 1.368008
1710.000000 1.368009
1720.000000 1.368010
1730.000000 1.368011
1740.000000 1.368012
1750.000000 1.368013
1760.000000 1.368014
1770.000000 1.368016
1780.000000 1.368017
1790.000000 1.368018
1800.000000 1.368019
1810.000000 1.368020
1820.000000 1.368021
1830.000000 1.368022
1840.000000 1.368023
1850.000000 1.368023
1860.000000 1.368024
1870.000000 1.368025
1880.000000 1.368026
1890.000000 1.368027
1900.000000 1.368028
1910.000000 1.368029
1920.000000 1.368030
1930.000000 1.368031
1940.000000 1.368031
1950.000000 1.368032
1960.000000 1.368033
1970.000000 1.368034
1980.000000 1.368035
1990.000000 1.368036
2000.000000 1.368036
2010.000000 1.368037
2020.000000 1.368038
2030.000000 1.368039
2040.000000 1.368039
2050.000000 1.368040
2060.000000 1.368041
2070.000000 1.368042
2080.000000 1.368042
2090.000000 1.368043
2100.000000 1.368044
2110.000000 1.368045
2120.000000 1.368045
2130.000000 1.368046
2140.000000 1.368047
2150.000000 1.368047
2160.000000 1.368048
2170.000000 1.368049
2180.000000 1.368049
2190.000000 1.368050
2200.000000 1.368051
2210.000000 1.368051
2220.000000 1.368052
2230.000000 1.368052
2240.000000 1.368053
2250.000000 1.368054
2260.000000 1.368054
2270.000000 1.368055
2280.000000 1.368056
2290.000000 1.368056
2300.000000 1.368057
2310.000000 1.368057
2320.000000 1.368058
2330.000000 1.368058
2340.000000 1.368059
2350.000000 1.368060
2360.000000 1.368060
2370.000000 1.368061
2380.000000 1.368061
2390.000000 1.368062
2400.000000 1.368062
2410.000000 1.368063
2420.000000 1.368063
2430.000000 1.368064
2440.000000 1.368065
2450.000000 1.368065
2460.000000 1.368066
2470.000000 1.368066
2480.000000 1.368067
2490.000000 1.368067
2500.000000 1.368068
2510.000000 1.368068
2520.000000 1.368069
2530.000000 1.368069
2540.000000 1.368070
2550.000000 1.368070
2560.000000 1.368071
2570.000000 1.368071
2580.000000 1.368072
2590.000000 1.368072
2600.000000 1.368073
2610.000000 1.368073
2620.000000 1.368074
2630.000000 1.368074
2640.000000 1.368075
2650.000000 1.368075
2660.000000 1.368076
2670.000000 1.368076
2680.000000 1.368076
2690.000000 1.368077
2700.000000 1.368077
2710.000000 1.368078
2720.000000 1.368078
2730.000000 1.368079
2740.000000 1.368079
2750.000000 1.368080
2760.000000 1.368080
2770.000000 1.368081
2780.000000 1.368081
2790.000000 1.368082
2800.000000 1.368082
2810.000000 1.368082
2820.000000 1.368083
2830.000000 1.368083
2840.000000 1.368084
2850.000000 1.368084
2860.000000 1.368085
2870.000000 1.368085
2880.000000 1.368086
2890.000000 1.368086
2900.000000 1.368087
2910.000000 1.368087
2920.000000 1.368087
2930.000000 1.368088
2940.000000 1.368088
2950.000000 1.368089
2960.000000 1.368089
2970.000000 1.368090
2980.000000 1.368090
2990.000000 1.368091
3000.000000 1.368091
