# x psi2_state_0 psi2_state_1 psi2_state_2 psi2_state_3
-8.620893450000000069e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-8.534684509999999891e-02 0.000000000000000000e+00 5.235850540476249755e-33 6.223348934308937881e-34 4.712432631529316098e-33
-8.448475580000000540e-02 3.644688986673997156e-34 1.512922594292450704e-34 0.000000000000000000e+00 2.866960801632124005e-32
-8.362266640000000362e-02 3.033806839686678000e-33 5.682552454747519424e-34 1.538705348696288638e-33 1.617160573348152772e-33
-8.276057709999999623e-02 4.761590269522410829e-34 1.689801917690173011e-34 3.801890918482033284e-33 4.684831403429389123e-33
-8.189848769999999445e-02 3.759446456576917999e-34 6.799304603334686322e-36 3.697295433572237013e-33 4.153285795122113579e-33
-8.103639840000000094e-02 4.573331840418221542e-32 1.747656753925660694e-32 9.401522046757394716e-33 1.003231677068966533e-31
-8.017430909999999356e-02 1.427174857641884444e-32 1.618553790205751461e-33 1.477905062969492864e-34 1.165431985014576419e-33
-7.931221970000000565e-02 2.479097912629728218e-33 1.463691538033752266e-33 1.047689298115431638e-32 3.333249987409717730e-33
-7.845013039999999827e-02 4.690505590711934599e-32 1.954271380273558939e-33 1.069423857688668169e-31 2.817455474550463443e-32
-7.758804099999999648e-02 2.528409752056995551e-31 1.079842174934508864e-33 1.732414277394607845e-32 1.457323684480666333e-32
-7.672595170000000298e-02 9.562772312387309516e-34 3.057325007620043626e-33 1.131602315850232429e-33 4.078019766927280259e-32
-7.586386230000000119e-02 1.740464909795027402e-32 3.827495406034399536e-33 1.493641807798798119e-33 5.792423360018506231e-33
-7.500177299999999381e-02 1.076316799563731992e-34 1.543752036425793991e-32 8.876701896082818714e-33 2.472660587806096669e-35
-7.413968360000000590e-02 3.955369910329390759e-34 2.289514368672634620e-33 1.352196012611497519e-34 6.049112882312846082e-33
-7.327759429999999852e-02 8.158073460510669059e-33 2.940690494589244469e-33 2.332109122196658399e-33 5.434708036115648943e-32
-7.241550500000000501e-02 1.367774228128098468e-31 1.329665449019441408e-31 7.302419987299380025e-32 7.465236422811946178e-32
-7.155341560000000323e-02 2.794506622965764623e-35 3.431565784835966963e-34 8.992833922530632795e-33 2.189319493592235224e-33
-7.069132629999999584e-02 7.213137043348912720e-33 2.151940368159275385e-33 1.991985744797837407e-33 8.447591143228132723e-33
-6.982923689999999406e-02 1.428258279586051238e-32 1.034049833064043932e-31 6.183947774214336809e-33 1.474909648354767114e-32
-6.896714760000000055e-02 5.437416736635743183e-32 2.259799622269463466e-32 1.491067652661659087e-32 3.142157446289714920e-33
-6.810505819999999877e-02 1.883956800966630184e-32 7.565877027402381358e-34 5.252264711934481589e-32 3.261870662703767111e-33
-6.724296890000000526e-02 1.175474926811007545e-32 2.406496539434017803e-32 3.020730159188231600e-33 2.020732370770142532e-33
-6.638087950000000348e-02 1.002401753799843971e-32 8.620338445785960726e-34 2.721533017389367715e-32 1.137993150428175200e-31
-6.551879019999999609e-02 3.637840888456237722e-33 3.383803028642931792e-33 5.932645544105082844e-33 3.192832226753129869e-33
-6.465670090000000259e-02 4.986570466170904522e-32 1.522552319411609249e-32 2.371134877241321591e-33 1.450367220317649226e-33
-6.379461150000000080e-02 4.179818887066330896e-33 8.802554608089492679e-33 6.200146002813507177e-34 1.840256169316684702e-33
-6.293252219999999342e-02 1.826356299144656976e-33 2.698055158219951963e-34 1.638362152055644128e-34 2.618232288195556205e-34
-6.207043279999999857e-02 1.348419830675424993e-33 2.279548301355480411e-34 2.263225963208306296e-33 2.443113564625157920e-33
-6.120834349999999813e-02 9.463361598777243129e-33 1.145870204477798820e-33 3.351596405231905605e-35 2.601273849464582796e-35
-6.034625410000000328e-02 1.945916152139368535e-34 1.710555393032347749e-32 9.702681888048074591e-34 2.180249098070255334e-33
-5.948416480000000284e-02 1.945393216652242934e-33 5.492908066582946079e-34 3.687329797987075268e-33 2.301936173584884327e-33
-5.862207540000000106e-02 4.908756070088534709e-31 2.989689465419274540e-32 3.120829270796386721e-33 8.284262335739732201e-32
-5.775998610000000061e-02 1.413309707905453884e-33 1.038505528631325159e-32 3.365237132869812148e-34 8.865183570137661697e-33
-5.689789680000000016e-02 1.379432518876019401e-32 2.205338483938213105e-32 9.546088493598938121e-35 4.082916586840759205e-34
-5.603580739999999838e-02 2.005751829673268567e-30 1.519174752510361266e-30 2.980909828890391544e-30 1.633370412008875940e-31
-5.517371809999999793e-02 3.412007749406132125e-32 8.953104949372062486e-32 1.178861481150359491e-30 8.231294535246497557e-31
-5.431162870000000309e-02 2.541918933931456805e-30 7.538831724465130368e-30 3.624890925326316403e-30 3.719337471189214396e-32
-5.344953940000000264e-02 2.783626375620738054e-30 2.525332179118525977e-31 2.980750500204170487e-31 1.402026695877992503e-31
-5.258745000000000086e-02 4.835807972468728087e-32 6.547654153652348002e-33 1.836852145010909396e-32 1.627576371517789158e-32
-5.172536070000000041e-02 7.494447018494169738e-29 1.388241499429069279e-31 1.139037744226716745e-30 5.152275691936520970e-31
-5.086327129999999863e-02 4.502079475225421968e-25 8.021896921991043586e-29 1.681722262046606978e-25 2.760911110951152283e-30
-5.000118199999999818e-02 3.518090769599068031e-19 3.213836288660563142e-30 1.294673535536755191e-19 9.236277971559795874e-30
-4.913909260000000334e-02 1.169046800156775083e-13 9.585947302258657835e-30 4.267499319464588732e-14 2.909512471637028313e-29
-4.827700330000000289e-02 1.325011433647546505e-08 2.171256408492930698e-32 4.770027412024677743e-09 2.304629362084618098e-27
-4.741491400000000245e-02 3.548924705242133856e-04 1.438469555642562287e-24 1.241441870112582817e-04 4.160279957995207921e-23
-4.655282460000000067e-02 1.000000000000000000e+00 4.464277930320164067e-21 3.197330346822424008e-01 1.056099870779719267e-19
-4.569073530000000022e-02 3.197260082494985944e-01 1.687277202701447084e-21 1.000000000000000000e+00 3.260195126368392065e-19
-4.482864589999999844e-02 1.167500840888992334e-04 6.179549270692021996e-25 4.000324483689595085e-04 1.298853637900218098e-22
-4.396655659999999799e-02 5.339393698324856323e-09 3.564578947343199677e-30 1.888616815998427282e-08 5.483076693638713473e-27
