# x psi2_state_0 psi2_state_1 psi2_state_2 psi2_state_3 psi2_state_4 psi2_state_5 psi2_state_6 psi2_state_7 psi2_state_8 psi2_state_9 psi2_state_10 psi2_state_11 psi2_state_12 psi2_state_13
-9.060436639999999708e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-8.969832279999999380e-02 0.000000000000000000e+00 3.471144066494824117e-33 9.422944339484929171e-34 1.996436408250391420e-32 8.612262613218035806e-32 8.603118488061075628e-32 1.863499421863527207e-31 2.437943108331482704e-32 4.528935796401356428e-32 1.369016398020740793e-33 4.807873257085976640e-32 9.458704109947811648e-34 1.362447291112927413e-33 4.266759817113692583e-32
-8.879227909999999613e-02 1.499174975818273879e-34 6.328768258322075430e-32 2.092832281045279247e-32 2.451228834515651757e-31 1.927090648852797857e-31 2.311291616053925542e-32 6.064215958674607248e-31 3.225426047476310496e-32 1.824250928604799178e-31 6.354275513696135319e-33 4.171451179934471829e-34 4.507483067007547730e-33 2.033384507532107111e-31 8.309242954001747491e-32
-8.788623539999999845e-02 7.374442185025504032e-36 3.207267801231297646e-32 1.414121994213709406e-31 1.089977945470509245e-31 1.190331882474222269e-33 1.419064173749117630e-31 2.828560698814501061e-34 1.648773940295297454e-32 4.068948752650272799e-32 2.182483213247708142e-32 1.120066526545527227e-31 1.043263401844132492e-31 1.238972522002795332e-31 1.526428075825396188e-31
-8.698019179999999517e-02 1.091209690735968522e-32 1.796828959158040255e-31 1.685878247188620472e-33 7.468434696114070220e-33 3.727371890213855275e-32 1.419751809593585329e-31 2.335821815242967767e-32 2.377229522323022491e-31 3.471657450153101278e-33 9.242526558792085014e-33 8.917338527327786400e-32 2.095301775363221251e-32 1.502297660122198851e-31 3.915621795479621568e-32
-8.607414809999999750e-02 2.389074499846416550e-31 2.026834312527524464e-32 1.130255655521396522e-33 4.074494365732966691e-32 2.955499239623800624e-32 3.231273975438412192e-32 2.245959804924339463e-31 4.137921870977438240e-32 6.914413612459483758e-35 6.664395798476824273e-32 3.592591421348218452e-33 4.378574754882358429e-34 1.695379531294763023e-35 5.670880405662611464e-32
-8.516810449999999422e-02 1.828190495990481679e-31 2.085218574434025481e-33 1.341397439491116644e-33 1.185840618933690239e-32 6.641033787183842983e-32 3.425941787756241196e-32 4.881993797288166846e-32 7.926501305099924419e-32 5.859361155437675569e-33 1.161374340073239834e-34 6.999240028051560129e-33 1.410897350061354703e-33 6.240513027442457000e-32 1.352609803969503914e-32
-8.426206079999999654e-02 1.011366875982803466e-33 2.424852704428718572e-38 3.539732812987741513e-33 1.162740614210150171e-32 2.465930684579459517e-32 1.302105941600259937e-35 2.387183732733380740e-34 1.039920177690719465e-32 5.192035187728259797e-32 2.261719164287379398e-32 1.212423860201219813e-33 2.257951911333923722e-34 3.437813332791374448e-33 2.634098010842584148e-32
-8.335601709999999887e-02 6.360185822641783022e-32 1.119759547227157749e-34 6.376926273969336340e-35 4.628781016551349955e-32 1.944788810190527147e-33 1.131723786525552127e-31 1.007230357722700201e-32 2.238658241217640357e-31 1.998085124733037881e-34 4.373501244339617305e-33 3.396766342440509428e-33 2.827812574656999900e-33 1.928398589239757916e-33 1.060241177276679861e-36
-8.244997349999999559e-02 6.233986073516193199e-36 3.198379250534221586e-33 9.475536772016995579e-32 3.289823923969987632e-32 4.322808450452803857e-31 6.988161030483225605e-33 1.001798844676963765e-31 1.341200842564337687e-31 2.118665289257555497e-32 6.461947907383710019e-33 5.374141047629959681e-33 6.330184133616067819e-34 8.943354771056382149e-36 9.570257331021079740e-34
