# Field(kV/cm) Polarization(microC/cm2)
-3000.000000 -0.576759
-2990.000000 -0.576759
-2980.000000 -0.576759
-2970.000000 -0.576759
-2960.000000 -0.576759
-2950.000000 -0.576759
-2940.000000 -0.576759
-2930.000000 -0.576759
-2920.000000 -0.576759
-2910.000000 -0.576759
-2900.000000 -0.576759
-2890.000000 -0.576759
-2880.000000 -0.576759
-2870.000000 -0.576759
-2860.000000 -0.576759
-2850.000000 -0.576759
-2840.000000 -0.576759
-2830.000000 -0.576759
-2820.000000 -0.576759
-2810.000000 -0.576759
-2800.000000 -0.576759
-2790.000000 -0.576759
-2780.000000 -0.576759
-2770.000000 -0.576759
-2760.000000 -0.576759
-2750.000000 -0.576759
-2740.000000 -0.576759
-2730.000000 -0.576759
-2720.000000 -0.576759
-2710.000000 -0.576759
-2700.000000 -0.576759
-2690.000000 -0.576759
-2680.000000 -0.576759
-2670.000000 -0.576759
-2660.000000 -0.576759
-2650.000000 -0.576759
-2640.000000 -0.576759
-2630.000000 -0.576759
-2620.000000 -0.576759
-2610.000000 -0.576759
-2600.000000 -0.576759
-2590.000000 -0.576759
-2580.000000 -0.576759
-2570.000000 -0.576759
-2560.000000 -0.576759
-2550.000000 -0.576759
-2540.000000 -0.576759
-2530.000000 -0.576759
-2520.000000 -0.576759
-2510.000000 -0.576759
-2500.000000 -0.576759
-2490.000000 -0.576759
-2480.000000 -0.576759
-2470.000000 -0.576759
-2460.000000 -0.576759
-2450.000000 -0.576759
-2440.000000 -0.576759
-2430.000000 -0.576759
-2420.000000 -0.576759
-2410.000000 -0.576759
-2400.000000 -0.576759
-2390.000000 -0.576759
-2380.000000 -0.576759
-2370.000000 -0.576759
-2360.000000 -0.576759
-2350.000000 -0.576759
-2340.000000 -0.576759
-2330.000000 -0.576759
-2320.000000 -0.576759
-2310.000000 -0.576759
-2300.000000 -0.576759
-2290.000000 -0.576759
-2280.000000 -0.576759
-2270.000000 -0.576759
-2260.000000 -0.576759
-2250.000000 -0.576759
-2240.000000 -0.576759
-2230.000000 -0.576759
-2220.000000 -0.576759
-2210.000000 -0.576759
-2200.000000 -0.576759
-2190.000000 -0.576759
-2180.000000 -0.576759
-2170.000000 -0.576759
-2160.000000 -0.576759
-2150.000000 -0.576759
-2140.000000 -0.576759
-2130.000000 -0.576759
-2120.000000 -0.576759
-2110.000000 -0.576759
-2100.000000 -0.576759
-2090.000000 -0.576759
-2080.000000 -0.576759
-2070.000000 -0.576759
-2060.000000 -0.576759
-2050.000000 -0.576759
-2040.000000 -0.576759
-2030.000000 -0.576758
-2020.000000 -0.576758
-2010.000000 -0.576758
-2000.000000 -0.576758
-1990.000000 -0.576758
-1980.000000 -0.576758
-1970.000000 -0.576758
-1960.000000 -0.576758
-1950.000000 -0.576758
-1940.000000 -0.576758
-1930.000000 -0.576758
-1920.000000 -0.576758
-1910.000000 -0.576758
-1900.000000 -0.576758
-1890.000000 -0.576758
-1880.000000 -0.576758
-1870.000000 -0.576758
-1860.000000 -0.576758
-1850.000000 -0.576758
-1840.000000 -0.576758
-1830.000000 -0.576758
-1820.000000 -0.576758
-1810.000000 -0.576758
-1800.000000 -0.576758
-1790.000000 -0.576758
-1780.000000 -0.576758
-1770.000000 -0.576758
-1760.000000 -0.576758
-1750.000000 -0.576758
-1740.000000 -0.576758
-1730.000000 -0.576758
-1720.000000 -0.576758
-1710.000000 -0.576758
-1700.000000 -0.576758
-1690.000000 -0.576758
-1680.000000 -0.576758
