# x psi2_state_0 psi2_state_1 psi2_state_2 psi2_state_3
-5.526946070000000183e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-5.471676610000000135e-02 2.814052846050364637e-32 2.114677888189582928e-33 5.255679005447507740e-32 2.651751521719661052e-33
-5.416407150000000087e-02 1.928904038688317134e-32 1.766464963079977713e-32 2.066796239324943769e-33 1.851851267576310632e-32
-5.361137690000000039e-02 2.242534077895944040e-32 9.651629863868936270e-33 1.961619268566932477e-33 1.713308705830651320e-32
-5.305868229999999991e-02 7.688264619508427660e-36 4.630551827995290769e-33 3.247564782765378002e-33 4.122212805383194896e-33
-5.250598769999999943e-02 1.622678332905161573e-32 1.455462208727040581e-34 7.079260159621679681e-33 2.919270852516969700e-35
-5.195329309999999895e-02 1.422069363315293944e-36 7.491910341133464981e-34 6.043886883470064969e-33 1.975240835065634650e-33
-5.140059849999999847e-02 9.446674463430926251e-34 1.594279262788055529e-33 2.887268377627070676e-33 2.092851118993594707e-33
-5.084790389999999799e-02 1.086869066872988425e-32 3.593439146596008397e-34 9.935935387379497670e-34 2.410342418345745349e-34
-5.029520929999999751e-02 5.705233757544144989e-34 7.517076437232839357e-34 1.399537587626003154e-34 1.033252718789396785e-32
-4.974251469999999703e-02 4.287005689449086883e-32 3.863752635908526305e-32 5.691629574189008701e-33 2.298147823935702221e-32
-4.918982000000000215e-02 1.068270233906776570e-32 3.364429750996909337e-33 7.678902934319742134e-33 1.890341668879684481e-32
-4.863712540000000167e-02 1.739835413222072145e-33 6.332902629435166373e-33 3.288762892616575127e-33 2.499607373348786489e-33
-4.808443080000000119e-02 1.306136255415106389e-32 9.064789918574512389e-33 4.741902973203592428e-33 3.674752305230182468e-32
-4.753173620000000071e-02 1.480220538733568524e-32 1.480438534540209871e-32 5.492506893762197299e-33 7.566261415681694011e-34
-4.697904160000000023e-02 2.193548612759196768e-32 1.057067883360601884e-34 1.897655687759333789e-33 1.249542082096658114e-36
-4.642634699999999975e-02 1.946955424625078452e-33 8.186766183906766977e-35 8.743781444575834646e-37 7.737517367866633066e-34
-4.587365239999999927e-02 2.311933311801948615e-32 2.148045517067449302e-34 1.175627306681011773e-33 1.379141119297931364e-32
-4.532095779999999879e-02 2.940242250665088211e-33 6.646763984601719027e-34 6.439926858143963481e-33 1.305834516169639807e-32
-4.476826319999999831e-02 8.474643121756716760e-33 4.463504878571742038e-33 3.833819989248474703e-32 3.271243585253383436e-33
-4.421556859999999783e-02 2.263263372691786700e-35 6.894265752919018861e-34 2.016388528214616534e-32 3.502981943648741772e-32
-4.366287399999999735e-02 1.080782642114557187e-32 2.748635578073679343e-32 1.517540773891429503e-33 1.503747061113039389e-32
-4.311017939999999687e-02 1.898213742251289954e-32 2.433995256518154000e-34 4.725059335032077065e-33 2.854515194057552323e-32
-4.255748480000000333e-02 5.112758072275369360e-32 5.416126541794638799e-32 2.301977027964907421e-35 7.496546404932753023e-34
-4.200479020000000285e-02 4.611498765706565405e-32 1.066647271650200078e-32 2.707637706806635880e-32 2.806552653072185055e-32
-4.145209550000000104e-02 5.683112921374315334e-32 8.977973679163205966e-33 1.656887119664809665e-33 5.820503201957653439e-32
-4.089940090000000056e-02 6.619391403000900004e-33 4.308693173663781298e-32 4.998326811991903004e-32 3.155260672742827613e-32
-4.034670630000000008e-02 1.344699371662774438e-32 1.624751072540048499e-33 1.305765841121659088e-32 5.686083336965808291e-33
-3.979401169999999960e-02 3.589349262839384596e-33 2.516462268669129443e-32 1.380427752285077207e-32 1.156932129765521338e-31
-3.924131709999999912e-02 4.221851695894158861e-32 7.953594515182495389e-33 3.805037844711770428e-32 3.349199993486595013e-32
-3.868862249999999864e-02 3.173590836675683086e-35 2.395886966384773547e-33 5.267721749041392710e-35 1.195014570844318658e-32
-3.813592789999999816e-02 1.581044922736816696e-33 5.735976245625834849e-33 2.094495150791717309e-34 1.676747165248671336e-32
-3.758323329999999768e-02 7.032970127479326020e-33 1.097664692374693214e-33 2.025836407455788789e-33 1.941407423449159379e-32
-3.703053869999999720e-02 1.574000857287064416e-33 9.200532236961557990e-35 1.555237543220117624e-32 1.703384264214543385e-33
-3.647784409999999672e-02 3.033677397112553710e-36 5.960791914158046713e-35 4.111152344396932994e-35 1.563353424422003717e-35
-3.592514950000000318e-02 1.968825046345632829e-32 8.032116761671177741e-32 1.500689666893022892e-33 7.037135170368584018e-32
-3.537245490000000270e-02 7.473925603580024870e-32 4.594371210799802586e-32 2.156198144995069370e-33 5.611624824797646785e-33
-3.481976030000000222e-02 5.254174513799337141e-31 1.534834453980678220e-30 3.221460457820664168e-31 2.900309750685167108e-31
-3.426706570000000174e-02 2.480222590609498761e-31 2.105990281978302177e-31 3.045085520921691116e-33 5.866010728551253023e-33
-3.371437099999999992e-02 3.260442639641967104e-33 6.168253064221875422e-33 1.426958601892032287e-33 6.114964441712423427e-34
-3.316167639999999944e-02 5.827781788324178360e-31 9.806312910599878556e-31 2.203718600812918613e-33 1.220349368421770126e-34
-3.260898179999999896e-02 9.376732892368029365e-32 1.260581832425978263e-31 1.406463825394584061e-31 4.729798080327492109e-32
-3.205628719999999848e-02 4.646153581190903037e-30 4.466014394446328528e-30 2.350423369341190287e-30 1.574428466204106440e-30
-3.150359259999999800e-02 3.105707143096339921e-32 3.882111487572003862e-28 1.514636344465009306e-29 3.886994825163934605e-26
-3.095089800000000099e-02 6.491170551280927209e-25 9.286615408832461552e-21 2.606998312787957339e-23 6.763593263905895007e-19
-3.039820340000000051e-02 4.015129563686320682e-18 5.757101035469023622e-14 1.609812443359905596e-16 4.166208207558972375e-12
-2.984550880000000003e-02 6.071497056472243646e-12 8.705473038199787750e-08 2.401105845065411471e-10 6.214100951747078076e-06
-2.929281419999999955e-02 1.018379909993147962e-06 1.460180052827676246e-02 3.863963382965244657e-05 1.000000000000000000e+00
-2.874011959999999907e-02 6.974344798237100656e-05 1.000000000000000000e+00 5.642061423278913000e-07 1.460174655236689406e-02
-2.818742499999999859e-02 5.404774621030940266e-10 7.749508771087105304e-06 4.584111289859973630e-12 1.186375416060987359e-07
-2.763473040000000158e-02 4.813004788116066484e-16 6.901025150585441679e-12 4.147718829566414089e-18 1.073423501509048311e-13
-2.708203580000000110e-02 1.121923913953847595e-22 1.605446039600078872e-18 9.699027539759939339e-25 2.516938140241618145e-20
-2.652934109999999929e-02 3.348356327915018387e-29 1.368886325546215435e-25 1.457143352326124520e-29 3.637870488784262273e-27
-2.597664649999999881e-02 2.403820609630638021e-29 3.886290591563216034e-30 8.157423394724186634e-30 1.548039298420744170e-29
-2.542395189999999833e-02 6.904936039986287240e-30 5.779607712290043601e-32 6.647006188364036604e-36 2.197379469354088296e-30
-2.487125730000000132e-02 2.102886667561005857e-30 3.403212581921868997e-30 4.128294678725658139e-31 1.840676461868919814e-32
-2.431856270000000084e-02 5.309922205887287177e-33 4.994120784035268445e-31 9.006336987965870344e-32 1.346725065871538738e-30
-2.376586810000000036e-02 9.764986095773090294e-31 1.891882836443897140e-31 2.422560581416652997e-33 1.306139800143607415e-30
-2.321317349999999988e-02 4.637904419682828924e-32 3.447103328543539585e-31 9.109011146841673137e-31 3.819973881291786124e-32
-2.266047889999999940e-02 1.882308658424971420e-33 3.368276107927408778e-33 8.802986494620847284e-31 2.577671457816216153e-31
-2.210778429999999892e-02 1.077339546674621152e-31 2.584728131512602937e-31 1.214779625373626726e-31 1.077593110932516386e-32
-2.155508969999999844e-02 6.433509520334598794e-32 3.664769676432059268e-31 2.145900562902605385e-32 1.776434381006981164e-33
-2.100239510000000143e-02 1.812445954824850179e-31 1.311794947812787721e-32 9.606998315548489681e-32 1.899390652336911539e-32
-2.044970050000000095e-02 5.052578685906415641e-31 4.865608301759301946e-31 2.702386816272521655e-31 9.017184154452246740e-33
-1.989700590000000047e-02 2.077381295555896683e-31 5.451490468441414066e-32 1.467520911149461496e-31 5.070322879346747774e-33
-1.934431129999999999e-02 1.392601921764896415e-31 1.799873101479946915e-32 1.139177396603359655e-33 1.426802149774697108e-32
-1.879161660000000164e-02 2.648149012730018423e-32 7.690837320512644959e-32 1.149542740957749712e-32 9.012135803696280337e-32
-1.823892200000000116e-02 1.381776203606308121e-32 6.413507621173597366e-32 6.651585435263528869e-33 2.558377303809747963e-33
-1.768622740000000068e-02 9.972545471087060850e-33 7.447102692971755314e-32 3.031346357172779304e-34 1.157412131747244118e-32
-1.713353280000000020e-02 2.048615958047403953e-32 1.620473392257026275e-32 5.133330822792738326e-35 3.456628258886865343e-35
-1.658083819999999972e-02 1.139549663965681956e-32 1.580038343841841144e-33 1.244261852494136222e-34 1.720376930944568455e-33
-1.602814359999999924e-02 1.982811086644891421e-34 6.117993534749210880e-35 1.757697478536917831e-33 1.066240313081269384e-33
-1.547544900000000050e-02 6.788175411429251454e-35 6.201352076596211162e-34 1.470438279672172329e-33 2.456513768775823085e-33
-1.492275440000000002e-02 7.378641349231553954e-34 2.116064064490577509e-34 1.759903507328573929e-33 1.876464479198741433e-34
