# Field(kV/cm) Polarization(microC/cm2)
-500.000000 -0.586942
-498.750000 -0.586939
-497.500000 -0.586935
-496.250000 -0.586932
-495.000000 -0.586928
-493.750000 -0.586925
-492.500000 -0.586921
-491.250000 -0.586918
-490.000000 -0.586914
-488.750000 -0.586911
-487.500000 -0.586907
-486.250000 -0.586904
-485.000000 -0.586900
-483.750000 -0.586897
-482.500000 -0.586893
-481.250000 -0.586890
-480.000000 -0.586886
-478.750000 -0.586883
-477.500000 -0.586880
-476.250000 -0.586876
-475.000000 -0.586873
-473.750000 -0.586869
-472.500000 -0.586866
-471.250000 -0.586863
-470.000000 -0.586859
-468.750000 -0.586856
-467.500000 -0.586853
-466.250000 -0.586849
-465.000000 -0.586846
-463.750000 -0.586843
-462.500000 -0.586839
-461.250000 -0.586836
-460.000000 -0.586833
-458.750000 -0.586829
-457.500000 -0.586826
-456.250000 -0.586823
-455.000000 -0.586820
-453.750000 -0.586816
-452.500000 -0.586813
-451.250000 -0.586810
-450.000000 -0.586807
-448.750000 -0.586803
-447.500000 -0.586800
-446.250000 -0.586797
-445.000000 -0.586794
-443.750000 -0.586791
-442.500000 -0.586787
-441.250000 -0.586784
-440.000000 -0.586781
-438.750000 -0.586778
-437.500000 -0.586775
-436.250000 -0.586771
-435.000000 -0.586768
-433.750000 -0.586765
-432.500000 -0.586762
-431.250000 -0.586759
-430.000000 -0.586756
-428.750000 -0.586753
-427.500000 -0.586749
-426.250000 -0.586746
-425.000000 -0.586743
-423.750000 -0.586740
-422.500000 -0.586737
-421.250000 -0.586734
-420.000000 -0.586731
-418.750000 -0.586728
-417.500000 -0.586724
-416.250000 -0.586721
-415.000000 -0.586718
-413.750000 -0.586715
-412.500000 -0.586712
-411.250000 -0.586709
-410.000000 -0.586706
-408.750000 -0.586703
-407.500000 -0.586700
-406.250000 -0.586696
-405.000000 -0.586693
-403.750000 -0.586690
-402.500000 -0.586687
-401.250000 -0.586684
-400.000000 -0.586681
-398.750000 -0.586678
-397.500000 -0.586675
-396.250000 -0.586672
-395.000000 -0.586669
-393.750000 -0.586666
-392.500000 -0.586662
-391.250000 -0.586659
-390.000000 -0.586656
-388.750000 -0.586653
-387.500000 -0.586650
-386.250000 -0.586647
-385.000000 -0.586644
-383.750000 -0.586641
-382.500000 -0.586638
-381.250000 -0.586635
-380.000000 -0.586632
-378.750000 -0.586628
-377.500000 -0.586625
-376.250000 -0.586622
-375.000000 -0.586619
-373.750000 -0.586616
-372.500000 -0.586613
-371.250000 -0.586610
-370.000000 -0.586607
-368.750000 -0.586604
-367.500000 -0.586600
-366.250000 -0.586597
-365.000000 -0.586594
-363.750000 -0.586591
-362.500000 -0.586588
-361.250000 -0.586585
-360.000000 -0.586582
-358.750000 -0.586579
-357.500000 -0.586575
-356.250000 -0.586572
-355.000000 -0.586569
-353.750000 -0.586566
-352.500000 -0.586563
-351.250000 -0.586560
-350.000000 -0.586557
-348.750000 -0.586553
-347.500000 -0.586550
-346.250000 -0.586547
-345.000000 -0.586544
-343.750000 -0.586541
-342.500000 -0.586537
-341.250000 -0.586534
-340.000000 -0.586531
-338.750000 -0.586528
-337.500000 -0.586525
-336.250000 -0.586521
-335.000000 -0.586518
-333.750000 -0.586515
-332.500000 -0.586512
-331.250000 -0.586508
-330.000000 -0.586505
-328.750000 -0.586502
-327.500000 -0.586499
-326.250000 -0.586495
-325.000000 -0.586492
-323.750000 -0.586489
-322.500000 -0.586485
-321.250000 -0.586482
-320.000000 -0.586479
-318.750000 -0.586475
-317.500000 -0.586472
-316.250000 -0.586469
-315.000000 -0.586465
-313.750000 -0.586462
-312.500000 -0.586459
-311.250000 -0.586455
-310.000000 -0.586452
-308.750000 -0.586448
-307.500000 -0.586445
-306.250000 -0.586442
-305.000000 -0.586438
-303.750000 -0.586435
-302.500000 -0.586431
-301.250000 -0.586428
-300.000000 -0.586424
-298.750000 -0.586421
-297.500000 -0.586417
-296.250000 -0.586414
-295.000000 -0.586410
-293.750000 -0.586407
-292.500000 -0.586403
-291.250000 -0.586400
-290.000000 -0.586396
-288.750000 -0.586393
-287.500000 -0.586389
-286.250000 -0.586385
-285.000000 -0.586382
-283.750000 -0.586378
-282.500000 -0.586375
-281.250000 -0.586371
-280.000000 -0.586367
-278.750000 -0.586364
-277.500000 -0.586360
-276.250000 -0.586356
-275.000000 -0.586352
-273.750000 -0.586349
-272.500000 -0.586345
-271.250000 -0.586341
-270.000000 -0.586337
-268.750000 -0.586334
-267.500000 -0.586330
-266.250000 -0.586326
-265.000000 -0.586322
-263.750000 -0.586318
-262.500000 -0.586314
-261.250000 -0.586311
-260.000000 -0.586307
-258.750000 -0.586303
-257.500000 -0.586299
-256.250000 -0.586295
-255.000000 -0.586291
-253.750000 -0.586287
-252.500000 -0.586283
-251.250000 -0.586279
-250.000000 -0.586275
-248.750000 -0.586271
-247.500000 -0.586267
-246.250000 -0.586263
-245.000000 -0.586258
-243.750000 -0.586254
-242.500000 -0.586250
-241.250000 -0.586246
-240.000000 -0.586242
-238.750000 -0.586238
-237.500000 -0.586233
-236.250000 -0.586229
-235.000000 -0.586225
-233.750000 -0.586220
-232.500000 -0.586216
-231.250000 -0.586212
-230.000000 -0.586207
-228.750000 -0.586203
-227.500000 -0.586199
-226.250000 -0.586194
-225.000000 -0.586190
-223.750000 -0.586185
-222.500000 -0.586181
-221.250000 -0.586176
-220.000000 -0.586172
-218.750000 -0.586167
-217.500000 -0.586163
-216.250000 -0.586158
-215.000000 -0.586153
-213.750000 -0.586149
-212.500000 -0.586144
-211.250000 -0.586139
-210.000000 -0.586134
-208.750000 -0.586130
-207.500000 -0.586125
-206.250000 -0.586120
-205.000000 -0.586115
-203.750000 -0.586110
-202.500000 -0.586105
-201.250000 -0.586100
-200.000000 -0.586095
-198.750000 -0.586090
-197.500000 -0.586085
-196.250000 -0.586080
-195.000000 -0.586075
-193.750000 -0.586070
-192.500000 -0.586065
-191.250000 -0.586060
-190.000000 -0.586055
-188.750000 -0.586049
-187.500000 -0.586044
-186.250000 -0.586039
-185.000000 -0.586034
-183.750000 -0.586028
-182.500000 -0.586023
-181.250000 -0.036680
-180.000000 -0.000637
-178.750000 -0.000631
-177.500000 -0.000625
-176.250000 -0.000619
-175.000000 -0.000613
-173.750000 -0.000608
-172.500000 -0.000602
-171.250000 -0.000596
-170.000000 -0.000591
-168.750000 -0.000585
-167.500000 -0.000580
-166.250000 -0.000574
-165.000000 -0.000569
-163.750000 -0.000563
-162.500000 -0.000558
-161.250000 -0.000552
-160.000000 -0.000547
-158.750000 -0.000542
-157.500000 -0.000536
-156.250000 -0.000531
-155.000000 -0.000526
-153.750000 -0.000520
-152.500000 -0.000515
-151.250000 -0.000510
-150.000000 -0.000505
-148.750000 -0.000500
-147.500000 -0.000495
-146.250000 -0.000489
-145.000000 -0.000484
-143.750000 -0.000479
-142.500000 -0.000474
-141.250000 -0.000469
-140.000000 -0.000464
-138.750000 -0.000459
-137.500000 -0.000455
