# x psi2_state_0 psi2_state_1 psi2_state_2 psi2_state_3 psi2_state_4 psi2_state_5 psi2_state_6 psi2_state_7
-8.005604460000000089e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.925548409999999544e-02 3.525417101944533226e-33 2.467734114707038115e-32 4.657060352425923515e-33 1.820062903348094402e-34 7.958660082580064981e-33 1.173521126293889081e-32 2.101155248851747674e-33 9.600648069908281669e-35
-7.845492369999999827e-02 7.192518991820248831e-32 1.196186594309141212e-31 2.821792781588252257e-32 2.589086995636588574e-33 1.689341124933048975e-33 3.775696386619777130e-35 9.870042442895985379e-34 1.916757930941128126e-33
-7.765436320000000670e-02 1.945724488064530706e-33 3.715601155757280027e-33 1.998288633707167007e-33 8.319297999604137641e-34 3.078686005533532506e-34 0.000000000000000000e+00 9.134499012025094037e-33 7.313679888416777895e-34
-7.685380279999999564e-02 2.007133215213466752e-32 1.008744606315332828e-31 1.453439930156734909e-35 2.186581857085123253e-33 2.614346345604705079e-35 8.815063857729982580e-34 1.937849043531922826e-34 1.113216606572290782e-31
-7.605324230000000407e-02 9.470855027255330902e-36 1.505020797046323614e-33 7.569757369947053433e-33 2.607590890686195355e-33 6.435709896949029941e-34 4.112166101804674364e-33 7.732010894608761927e-34 1.251444814377406730e-34
-7.525268190000000690e-02 3.514391361453841220e-33 9.361000956759338523e-33 2.666423879567983376e-33 1.151106956985280543e-33 2.537464506002542501e-36 5.061696159142327201e-34 1.203482069068494154e-33 3.115076943650366622e-34
-7.445212149999999585e-02 1.715624293850243094e-32 5.669403591629790153e-32 1.513560626422099294e-32 9.874172026215455865e-33 2.288862847743330310e-32 1.898248317413964068e-32 3.349932211033650492e-32 4.775322809911432858e-32
-7.365156100000000428e-02 9.428660117318861992e-33 2.264231393219042713e-32 2.269174163271677572e-32 7.003406487688852726e-34 5.824727444348809642e-33 2.990599916476410871e-32 2.458321051237059401e-32 3.769221480918778891e-33
-7.285100059999999322e-02 6.518522047269252585e-33 7.084963385118759289e-32 1.093172847827466590e-32 6.546297583478986911e-34 8.849724414567375749e-35 2.126633907887105660e-33 2.562509603075618104e-33 1.750095906153627974e-33
-7.205044010000000165e-02 1.244134804414213025e-33 2.076564648412733798e-32 4.253283994892879011e-32 4.475669802302708609e-32 5.875460938451962767e-33 1.745876491241222451e-32 8.308719807445544701e-33 1.269744584693513971e-33
-7.124987970000000448e-02 2.584815361875529021e-32 2.614016294244467234e-31 7.029068729987784916e-33 2.937617171385909577e-33 1.438486510685500256e-32 3.766238677360104134e-32 6.878987294312241526e-35 1.100016921479986300e-33
-7.044931919999999903e-02 1.725265020889396989e-34 7.667388644388669626e-32 3.532735611326290343e-32 3.812624872593917118e-33 5.913991079917447327e-32 3.252438978740347214e-32 1.007807434335913750e-34 1.197711782909995657e-32
-6.964875880000000186e-02 2.037477786239740732e-33 7.354418230810158953e-32 1.017647539003822121e-31 1.519966162109725719e-33 5.484603335615909749e-34 5.872431075387280883e-33 7.308723191766620079e-33 3.599751660831426130e-32
-6.884819829999999641e-02 5.844452733228627875e-32 1.423652284504178974e-32 1.626630286398223180e-31 3.040759286897460436e-32 1.087585267418172126e-36 9.548414550879787869e-33 9.011151312181756889e-33 3.260729904927364073e-33
-6.804763789999999923e-02 3.474799583355045587e-32 3.118223711806900340e-32 8.124872246612131618e-33 2.489960591749549576e-34 2.544929064761346583e-33 1.158683462439740436e-32 6.356775472096854344e-33 9.396775885756419059e-33
-6.724707739999999379e-02 2.209495866341511440e-31 2.158473518056483336e-31 2.741954479667902186e-33 8.812793775745088900e-35 2.381186435656779534e-33 4.249961091125180226e-32 1.251626213440681102e-32 1.533923680331070185e-32
-6.644651699999999661e-02 1.971519644833596472e-31 2.674496096377648270e-31 9.361819957515882272e-35 6.644166067526800081e-32 3.911374870871986195e-32 2.301574970515401568e-32 6.097265225048726199e-32 6.763586127521661040e-34
-6.564595659999999944e-02 2.374237541956963178e-32 3.271319816974107656e-32 3.587678640364092502e-32 3.569807837497700435e-33 3.873405782204418238e-33 3.872920117870327251e-32 5.104032068845519462e-34 3.214471783220942712e-33
-6.484539609999999399e-02 1.671270737577375451e-33 1.163845729799520865e-34 8.286874743107878547e-34 5.596562076826806371e-33 9.004472323211161639e-33 6.304147829895832738e-33 3.480926093563252213e-34 1.542767745646434718e-34
