# x psi2_state_0 psi2_state_1 psi2_state_2 psi2_state_3 psi2_state_4 psi2_state_5 psi2_state_6 psi2_state_7 psi2_state_8 psi2_state_9 psi2_state_10 psi2_state_11 psi2_state_12 psi2_state_13 psi2_state_14 psi2_state_15 psi2_state_16
-5.671646820000000172e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-5.614930349999999737e-02 0.000000000000000000e+00 2.474536634085289503e-32 9.773231334242468065e-33 1.188960480934890056e-32 4.334446062671702878e-32 8.201383087339363961e-33 1.327339232424982788e-33 6.083862874182107071e-34 1.528909551115358325e-32 4.538705866064511144e-32 2.096568779627473501e-33 1.406760599439179588e-34 7.493633329610712823e-34 3.531778861779080627e-33 1.507684959829022858e-33 1.774838096810293904e-34 1.108761447407570164e-32
-5.558213879999999996e-02 9.426015095985657180e-33 1.432766377294109582e-31 1.326015193252759896e-31 2.254076910158451675e-31 3.293195439517460642e-32 4.014377282267490503e-32 6.419917794084363703e-33 4.226310471302315710e-32 1.717791182959257215e-31 1.491339593725306417e-31 1.551434875754807295e-32 1.181792027850046043e-34 2.074118924195471972e-32 1.515453838026380981e-33 1.308126543351179229e-32 1.243896192154307057e-32 3.251982705022274589e-33
-5.501497419999999694e-02 3.882785531912296213e-35 2.420164426717930340e-32 1.234418654253503833e-31 3.521404661115288180e-33 1.323031021206850947e-32 6.612638774144341607e-33 3.396657897892898323e-31 3.190494792423838498e-32 9.339269287558710370e-32 2.253085251085570912e-32 2.148709360312070182e-32 1.148662509517856766e-31 5.090846044480471689e-32 8.883707647299109536e-32 2.859145078677232128e-32 2.215910764430764823e-33 2.101721199603446987e-32
-5.444780949999999953e-02 8.994953495687655805e-31 6.132738822898785728e-32 1.630095652412836669e-32 1.454464938695732749e-33 4.745250028072348916e-36 2.377513141754882252e-33 5.074014541325093967e-32 2.816643312454108122e-33 3.833224353365678697e-33 5.933417409972151721e-33 1.480553166255938061e-32 1.540607324352385204e-32 1.131903221667751318e-33 7.731234009213866933e-34 2.443652093072087603e-32 1.365782532694829253e-32 1.082500736605279353e-33
-5.388064480000000211e-02 8.420782762035123475e-33 4.952609052354558553e-37 9.401060366249672077e-32 1.719026640054105686e-31 2.235428106305225518e-32 1.176829845691180905e-31 4.439726904187493504e-34 3.051621833356508947e-32 2.139350011873155718e-31 2.524909685973878288e-31 6.221787869680215238e-34 6.611893279858615183e-33 5.783710715056610425e-35 4.735510697256923901e-33 1.275608110095807682e-32 1.048415154379570362e-34 8.667239944140852857e-34
-5.331348009999999776e-02 2.194393662009671450e-32 1.794430114364107222e-31 3.818080383595190499e-32 1.441280811356301733e-32 2.463878981578834136e-31 1.237723844422060465e-31 6.425110415822780371e-32 5.613621021280690103e-32 5.090247661706063107e-34 7.583252013857325415e-33 6.312807070910107861e-33 1.962401356488448781e-31 5.689389752704436778e-32 1.775542933162170425e-32 6.309563084022143427e-33 5.148331059615170194e-32 1.155015681172038085e-32
-5.274631540000000035e-02 2.685497337850551051e-36 2.903280868260958840e-32 2.011314074246604531e-31 2.304094744425471708e-32 2.240752643124953894e-33 1.802380584018672163e-32 7.781428426835421072e-32 8.334653208385043862e-32 9.184254950954644217e-32 8.728250503181054759e-32 2.551255126902796095e-33 4.670170485357232589e-33 2.859056132944030348e-34 4.716255300664252187e-32 5.955747648793455797e-33 3.024582695299481187e-32 1.046351996524057996e-34
-5.217915070000000294e-02 7.154824251019894873e-34 7.269129699673940064e-33 1.363262113317612444e-33 1.757991679885559665e-33 7.941171305491837257e-32 1.597176534606120611e-32 1.072519284100975823e-31 3.364269508822900485e-32 1.539907697323412611e-32 5.417509924766219442e-32 1.379916018098100675e-32 1.869067688694168768e-32 1.411527661142929105e-32 1.066925010758365097e-32 5.180906908267398359e-34 1.189909802974810745e-33 1.008094973997891534e-31
-5.161198609999999992e-02 5.141234713324841579e-35 2.844587908907843365e-32 3.944960176877256666e-33 9.376784540098027021e-33 1.033067426543054644e-31 4.265645806553573196e-32 3.706310080106889527e-33 1.045858000103909385e-32 4.740493575611776837e-35 5.837425168514665014e-32 7.697070438463907742e-33 1.476272716787188456e-36 8.833441777701455455e-36 1.075245565825357491e-34 1.295890055543410212e-33 1.580179749716423143e-32 1.509547061879803609e-32
-5.104482140000000251e-02 9.036995874349329825e-36 9.161248759472455898e-34 3.038374561096372546e-32 1.171912585744069170e-33 1.407134040637686976e-32 3.797792803615638563e-32 3.057379166094849274e-32 3.216882569895112454e-32 1.943928399760725783e-31 1.703451171585638830e-31 2.671358084516621184e-32 2.915182918395536128e-32 1.076688359351144099e-37 9.040219359129787299e-33 3.582326572446871972e-32 7.488743441173688772e-32 1.157046308968860142e-31
-5.047765669999999816e-02 8.756321091726789354e-33 3.049011260837191779e-33 5.067991160444772417e-32 3.329528315369888679e-32 2.290833826440985370e-32 1.559718176809119280e-31 5.047391994291670273e-34 1.973902899108693650e-31 1.433259170845105771e-32 2.521447204530909003e-35 3.423696734684907068e-32 3.883167393006459101e-34 4.219280430286961795e-35 1.804743780673635343e-33 7.223694993564067726e-32 1.077194486658708683e-32 6.013814760033688793e-32
-4.991049200000000075e-02 7.382441576682067404e-33 1.355927659414564707e-32 2.856100343114763604e-34 7.225415029914328506e-33 2.293514231161217104e-31 2.207896208334131001e-32 6.340084175591244750e-33 7.690626989440421055e-33 4.567766783123687081e-32 2.188251298153872174e-32 3.558876822015053462e-33 2.204464759577625145e-32 2.077849246065775307e-32 2.705591060571847155e-34 1.354151250063037322e-32 5.467381571224730885e-32 1.138699433270282840e-32
-4.934332730000000333e-02 1.355618351687240164e-31 3.011712545905992735e-33 2.135203014120981030e-31 3.053311283675765863e-32 1.587962649688972620e-33 1.224150098918911934e-34 6.321304169316594480e-33 1.691933958079014533e-33 5.111394564150287833e-31 6.258810815199375132e-33 3.069523561859504230e-33 6.541154994916073244e-34 1.087702540963584458e-34 1.775090601891788945e-33 1.003910204054759594e-31 4.433325184160340807e-32 5.532952375313538505e-33
-4.877616259999999898e-02 6.225322584978735703e-34 6.867481810395779822e-32 3.678713714186579386e-33 1.490334628815314310e-34 4.152575473871747471e-33 1.037623836445802000e-31 4.588668722266333616e-32 6.184733352038266438e-33 3.031898258894554367e-33 8.960636274928335443e-34 1.652928314310765837e-32 1.586730936144379155e-33 1.057118126246100856e-35 6.779286511163474195e-33 2.235470406148041108e-35 2.652714186022046949e-33 8.207608621209201120e-33
-4.820899800000000290e-02 8.521793241783974648e-33 2.956175936533169382e-32 3.674054797641198773e-32 1.073131396110053518e-31 4.608889335867443896e-33 1.208730877650360254e-32 7.450182488624884430e-32 1.276885073299544585e-32 3.857884028124598068e-32 4.829159338682742154e-33 9.900605243604493365e-33 8.891939353187515123e-32 4.071119385593064454e-32 1.738149257487469334e-32 3.419210151440072169e-34 4.960389101368687123e-32 6.784503557041296680e-34
-4.764183329999999855e-02 1.651487335690247474e-34 2.086962508226399486e-32 1.144427123631212960e-32 3.339099599999155525e-32 2.496575627633818955e-33 7.073193184304967176e-34 1.151463818691493934e-31 9.317068069818349089e-34 2.705857534502133333e-32 3.207287922597200257e-32 2.810346738066418507e-32 4.361331965232133179e-32 1.000760652095714334e-32 7.999378545334120824e-33 5.842980467392069512e-33 3.020199973001614924e-33 1.173245466491735207e-34
-4.707466860000000114e-02 1.239783432689824397e-34 1.512371516252604411e-31 1.390934220489200566e-31 4.013200942073898544e-31 9.045754070201197853e-34 8.317909405324972280e-33 6.876041955682189668e-31 4.176651743892887716e-32 2.950456014906791373e-33 3.524979570489832283e-32 1.244983173559556290e-32 6.617248669003965751e-33 4.675554927350084268e-33 7.196442012197901895e-34 2.094773197332499420e-33 2.913396374922258221e-33 9.897332407854192382e-34
-4.650750389999999679e-02 5.583678996611612853e-35 7.192500238747637531e-32 3.388417382422772339e-33 7.156265889745462895e-32 1.592448857990566333e-32 7.998921764260901369e-33 1.160083214057603604e-32 6.602663512044543386e-33 2.000834705702745126e-31 1.819515287645323412e-31 5.014554902547904672e-33 4.255136647480853192e-32 6.835777888931983419e-32 2.889650921112764294e-32 1.456571803636252882e-33 1.661217307685029877e-33 3.604944977789903212e-33
-4.594033919999999938e-02 6.592088176976112265e-34 2.722669701310157240e-32 4.057980228285228394e-34 3.010863828019868221e-34 4.754400028460200183e-33 7.503591957146273880e-32 3.647252219525419524e-32 3.056696260333351298e-32 5.053438857381031254e-36 9.766218268315732222e-33 3.062735775718096181e-34 6.898126183353059005e-36 1.660363912030170334e-32 4.794519771904942735e-33 2.026297170490027206e-33 1.150271309392946213e-33 2.317409143176052120e-33
-4.537317460000000330e-02 3.366646649940999980e-34 2.013908385091094728e-33 1.376941797749990095e-33 4.669922364972046940e-33 3.927639174696064836e-33 1.131595949390945772e-31 1.309503583472180157e-32 2.472150555188455233e-33 9.373265150508850345e-36 6.599644623631478413e-34 1.307410914225168202e-32 2.682861903463460005e-32 4.331105125481945440e-33 6.215687249251348564e-33 8.826934827833835335e-33 1.012161939124459469e-32 2.280042864131066767e-33
