# x psi2_state_0 psi2_state_1 psi2_state_2 psi2_state_3 psi2_state_4 psi2_state_5 psi2_state_6
-5.704130679999999676e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-5.647089379999999798e-02 0.000000000000000000e+00 2.431670478309679473e-32 1.433734119246417235e-32 4.851481498327607152e-33 4.770914283544444666e-34 1.157538245252421562e-34 1.018250873366722349e-32
-5.590048069999999786e-02 1.037297249159638617e-32 5.387643930462055241e-33 1.122293281243789861e-31 0.000000000000000000e+00 2.238381970831422253e-33 2.464163905205448273e-33 1.096497684162872762e-32
-5.533006759999999774e-02 1.622020215133283479e-32 4.131325522034975373e-34 2.590816505727736833e-32 1.472446991357853535e-32 1.257669760291564700e-32 4.970496943414720552e-32 6.415285976218700841e-32
-5.475965459999999896e-02 4.247233270272689347e-32 5.329638290018873743e-32 2.040493910799947489e-34 1.136371998312266953e-32 1.362154932084586134e-33 1.128858589260630707e-32 3.351819468986098821e-33
-5.418924149999999884e-02 1.116239894569264695e-32 1.066372374025029347e-32 5.472972987385291767e-33 1.640583554943996080e-32 9.822704037261827966e-33 3.695484210509367695e-34 7.990778183484329673e-33
-5.361882839999999872e-02 5.665517884412227038e-33 9.719512380348205515e-33 7.004415955303613232e-34 5.335365043607569040e-32 1.115190561670194194e-31 3.450544953994894229e-33 2.614576642762899457e-32
-5.304841539999999994e-02 1.406393626950920921e-32 1.520774430346842576e-32 5.704826843958852267e-33 8.369993569699874857e-32 5.063518682074666839e-34 3.396004974680918571e-33 6.694270207135671141e-33
-5.247800229999999982e-02 8.519161093120474373e-33 4.023302657889947618e-33 8.985275902688335328e-32 2.366782505214551814e-34 2.538005430570057306e-33 6.277686099588209254e-34 2.831893775497155386e-33
-5.190758919999999971e-02 6.060077637862512654e-32 2.150927247810837380e-32 2.502090287154157767e-34 7.061274248819903987e-35 4.316292576125860144e-37 2.373036387935449527e-32 1.091529299667971921e-33
-5.133717620000000093e-02 8.199649583145034838e-33 9.168282963748228503e-32 6.806802027925058934e-32 2.558130409613494796e-33 7.760516470052304809e-34 1.300680399990828789e-32 3.879463800235235116e-33
-5.076676310000000081e-02 8.894199369424218766e-33 1.813874697817308000e-32 4.163677583250433224e-33 1.732146136173822206e-35 4.509921697047868411e-33 4.497162693248799619e-34 6.712036727076189693e-33
-5.019635000000000069e-02 7.851509190237118220e-34 8.981169538762587640e-33 7.882999010437923049e-33 1.582551916798075328e-34 2.388698727291266264e-32 5.297123556257166277e-35 4.268284874139443629e-34
-4.962593690000000057e-02 1.146390733033208748e-32 2.906589751106141367e-32 3.899663671970696746e-32 3.769365667046582926e-33 5.270690672447385070e-33 4.125335719877831907e-32 2.121760339193782314e-31
-4.905552390000000179e-02 9.441834330872047437e-34 1.663107348191891574e-32 2.712985915822753569e-33 4.509403228958592889e-32 2.142888119129280998e-34 2.771431802099757983e-32 2.384963480730753245e-32
-4.848511080000000167e-02 9.063466467021015042e-34 7.140351735647466999e-34 2.672050608913706715e-33 1.309515358658323074e-33 1.331158694111342486e-32 8.446900396301780863e-36 1.625826010667278458e-33
-4.791469770000000156e-02 8.257925219673565406e-32 4.082285513905449571e-33 3.102914614428757222e-33 5.811002186271036259e-32 5.393964092870909005e-33 5.625560505130507160e-34 1.514851039286328641e-33
-4.734428470000000277e-02 7.897994296995693231e-32 2.501816401045464345e-33 2.434870320665268407e-32 9.152116731502032978e-32 4.065469618441233015e-32 1.960697116914808904e-33 1.177496472836009407e-32
-4.677387160000000266e-02 1.916409886905508133e-34 1.526313854538921082e-33 6.411764393488132953e-34 2.560822986466647609e-34 3.417704857314314106e-33 2.147510295943350063e-33 3.924643403159873809e-34
-4.620345850000000254e-02 1.738389970186765713e-32 3.600684648519050097e-32 5.072107856066876892e-34 9.306543832254350000e-35 9.023128604356352434e-33 7.541080052411098739e-33 1.827454753310673517e-35
-4.563304549999999682e-02 4.698580389183021379e-32 7.301537638487571457e-32 2.841750164952203593e-33 2.213458116924394420e-32 1.599486054087618102e-33 3.716872847613751888e-33 3.315056746082544722e-32
-4.506263239999999670e-02 6.793281978212747920e-34 3.089474766963419271e-33 1.310279926028437113e-32 3.343250155930086288e-32 3.746508641869498609e-32 6.446395457336939118e-34 5.317703359697544041e-33
-4.449221929999999658e-02 3.936862664551033586e-31 8.467731194836193151e-32 4.690953481424674315e-32 3.400316980363123048e-32 1.729015325170682504e-32 5.322203151720379938e-32 4.171838980545268802e-31
-4.392180629999999780e-02 1.265786976917272105e-33 3.729952498230367315e-32 4.269818842247482536e-33 1.522632821575619184e-33 5.551892834554501056e-33 1.146627409266897978e-31 9.397988030725715250e-32
-4.335139319999999769e-02 1.007974354675042314e-32 5.786165022290611369e-30 1.443662770658521497e-31 5.428951888040811259e-32 1.686452952184219358e-31 1.873813130262310344e-31 2.997576413672622398e-32
-4.278098009999999757e-02 2.556073561369377652e-31 5.494142879464082221e-30 4.355305304434594900e-31 4.195874877787866315e-32 8.263710380506687123e-33 3.802118494820732914e-31 3.310595957886883254e-31
-4.221056709999999879e-02 1.190043978391954859e-30 1.623857755391333257e-31 1.150296113635375189e-31 1.291462127872850582e-31 4.558151186229793098e-33 1.468830272153021048e-32 1.025748884828211331e-30
-4.164015399999999867e-02 2.528687042197071843e-30 3.976361825270213384e-31 3.494331476504564680e-31 1.406580124450534135e-30 2.534342198343550436e-30 1.651787382981030992e-31 3.212494799077487517e-33
-4.106974089999999855e-02 8.818178139855294654e-31 4.127081356265266349e-30 8.190814128450433821e-32 3.344302619657722151e-31 5.927173959969342151e-30 2.344104932988720913e-31 1.012932490518776260e-30
-4.049932789999999977e-02 2.441529123940628968e-31 1.594987754362832863e-30 1.484641138286681724e-32 2.553945034122888088e-30 4.168641082311978184e-31 1.959145956465872186e-30 2.037544604319883184e-31
-3.992891479999999965e-02 1.807110236608515512e-30 9.610211000648076821e-32 1.020624759073517890e-29 6.148906754697868181e-30 5.830902284716278187e-30 5.993961995612734403e-30 6.063457377693423063e-30
-3.935850169999999953e-02 9.882540697947047543e-31 1.220230883115691142e-30 5.625601712397039129e-30 5.985691878338423709e-33 5.163440536968142550e-30 2.713156973877250751e-29 2.024950681384472022e-30
-3.878808859999999942e-02 3.330810797181191243e-33 6.070660942791926986e-35 8.291136193645845665e-32 4.112822399296332958e-32 9.461899353272571868e-32 5.636311398043825161e-31 3.701589489147487035e-32
-3.821767560000000064e-02 4.420687906550561374e-33 1.764984990122528803e-31 1.052962551468584752e-33 1.172774336449576484e-33 9.178981459295460953e-32 1.686823233947182277e-32 1.717498690454100307e-32
-3.764726250000000052e-02 2.760680763862137418e-30 1.024542154277759329e-32 2.833601111544926777e-31 1.473203563083828506e-30 2.671582394722013683e-30 8.794873267616379732e-30 1.347801275735323680e-34
-3.707684940000000040e-02 1.217430170956249226e-30 2.626115774774863759e-30 3.989838965243357468e-32 2.764659996719611433e-32 6.862105403426558938e-32 9.072502776133630643e-30 6.499152602900075491e-31
-3.650643640000000162e-02 1.116306293770520626e-30 4.713417528690507998e-30 1.208764086389582895e-30 7.413990618825145078e-31 2.810375393171009746e-30 1.529446552633487692e-33 6.240295047864123679e-30
-3.593602330000000150e-02 1.612666001080868713e-31 1.834458307403379589e-30 3.201941166657650650e-31 1.052420956568846015e-31 7.525826067681677316e-33 8.278535545943819719e-32 4.214940353649438120e-32
-3.536561020000000138e-02 3.905534329759634948e-33 3.557222004218454169e-30 2.788987372582380173e-31 7.932840207117890506e-32 5.231350902352984994e-32 4.634961894215876478e-31 1.609501647501024871e-32
-3.479519720000000260e-02 1.102755955283765035e-35 4.540656900713783450e-32 7.351625120593882745e-34 3.643736460311506290e-33 9.654296482071621184e-36 6.365482801700244120e-33 7.117535027330734878e-35
-3.422478410000000248e-02 1.147243966067776867e-31 7.033747387478088513e-31 1.581747959669817834e-31 1.946498448364707226e-32 2.625225004742390572e-32 2.737443300343777051e-31 3.172341154400658625e-31
-3.365437100000000237e-02 4.202848789081956171e-32 2.108869771954552274e-33 7.044835935852305330e-33 7.960735235951217141e-35 9.902887226677558431e-33 9.565663479259377689e-33 1.622401350139146959e-32
-3.308395799999999665e-02 1.012598075961463620e-30 1.255635419093652767e-33 1.752339387684375001e-31 7.266227678157556389e-34 6.227883324624456533e-32 4.556192240662068237e-32 3.286963762220515788e-31
-3.251354490000000347e-02 9.884607425570784398e-34 1.378832715032061520e-34 4.613355234659107529e-34 1.823604761699691728e-33 3.421576721729117898e-33 1.081138989728367956e-33 1.165430667944271205e-32
-3.194313180000000335e-02 6.693982706042385355e-32 2.578508952966671130e-33 8.467961010765043016e-33 6.848174691652860092e-34 9.574853015127743710e-33 1.705628516538984928e-33 8.666575820766620989e-32
-3.137271879999999763e-02 1.206916973810562324e-34 3.995571219910642716e-34 6.532927379673521889e-34 4.684105569272980772e-34 2.287796400724326041e-33 4.314874145931997380e-36 4.703041916213351713e-36
-3.080230570000000098e-02 7.087809810246985923e-34 9.963179758758501304e-33 7.075253100265481333e-33 2.800187496369431221e-33 5.642427638928546179e-35 2.979280994715100796e-35 7.440663604674567121e-33
-3.023189260000000086e-02 1.137741723844120842e-32 1.341777689591521030e-32 2.985326548497972523e-34 3.283770641811951465e-33 2.615000107903750390e-33 4.318313283675554097e-35 1.762098358299684690e-32
-2.966147959999999861e-02 1.542245280456253185e-32 5.860556777578878524e-32 3.709169872982997463e-33 2.531887951130188223e-32 1.655264162327644220e-33 4.309255425102057415e-33 7.526673718794987366e-33
-2.909106649999999850e-02 9.184871040346258175e-35 1.368688927170604900e-32 8.459889780645578424e-33 4.136990568240100951e-33 3.282250864099060062e-32 5.955360099082506169e-33 6.834806192120288871e-33
-2.852065339999999838e-02 2.736026668492065323e-33 1.132652895691291724e-34 3.072178762433667792e-33 1.113188467720721060e-32 1.090280674129001570e-32 4.557404854186076895e-35 3.807631870133074304e-33
-2.795024030000000173e-02 5.161195992647902306e-33 3.594867758082014224e-33 4.544922341530994764e-34 2.740718091561358621e-35 3.961566274270262866e-33 6.750982432482220827e-34 1.469178557479679639e-35
-2.737982729999999948e-02 4.804444880648122167e-33 1.055660415088581176e-32 7.625954347742122613e-33 1.265020292014111746e-33 7.581920813745053491e-34 3.375132857783826545e-32 3.968542949338753499e-34
-2.680941419999999936e-02 7.471483062694582840e-33 2.231246481739223962e-32 1.279994176704008503e-33 2.730330744531392946e-33 1.428876100465828911e-34 4.931845754098194245e-34 1.489000714595170776e-34
-2.623900109999999924e-02 8.792504578449391485e-33 2.134997150466570577e-33 4.400135156500711594e-34 1.221948769745891002e-34 2.504352899788242808e-33 1.916267003647242344e-33 1.226442909787083059e-33
-2.566858810000000046e-02 2.093911460733778560e-32 2.921415288550191310e-32 1.073488705385531809e-32 7.908073524315811556e-34 8.468716198543396609e-38 3.976824713465346667e-33 3.451024283916126051e-33
-2.509817500000000035e-02 4.117883828056857109e-35 6.622620137632308153e-33 5.918511716857212081e-34 1.717740830758202597e-33 8.978445101713717968e-33 9.163865271729236003e-33 7.320873948918732170e-34
-2.452776190000000023e-02 1.472203124687341483e-33 4.032188004655347521e-32 3.576253152818934729e-34 1.436821047478660708e-35 2.384711792625978091e-32 5.589801135921913505e-32 2.701000000912251607e-33
-2.395734890000000145e-02 2.767512784786320218e-34 1.754629014625358602e-32 3.432981103562539345e-34 4.605645699484566091e-34 1.395192619450500274e-33 1.548804300962325188e-32 3.257512182810023573e-33
-2.338693580000000133e-02 6.944912192370692356e-34 8.561194679253216394e-33 6.087778551600845769e-34 4.868331417621481878e-36 3.131705022372423825e-35 1.166290972300962885e-33 5.784675620466749761e-36
-2.281652270000000121e-02 4.614661503709151878e-33 9.859059243932204043e-33 8.592267293496598169e-33 1.972452718986364802e-33 6.693158433274360467e-35 8.331231946678371758e-33 3.560086825597766594e-35
-2.224610969999999896e-02 1.072853601513889751e-34 1.575375944785777549e-33 4.056528849109744735e-35 1.807759190753057481e-34 2.475755988137741510e-36 7.100158154511590005e-37 3.489648596730686408e-35
-2.167569659999999884e-02 2.305839733530202610e-33 7.267451144390140159e-33 7.803182212648684317e-34 3.248083416520974939e-33 1.879782114600660203e-34 7.523791376132252138e-34 3.986080125279683970e-34
-2.110528349999999873e-02 1.046969275031975768e-33 1.582222114288587064e-33 2.662886855981544459e-34 5.955214657627571368e-33 4.506042805677170299e-33 2.771137874339319259e-33 2.902772765861320386e-35
-2.053487049999999994e-02 9.030028139160207685e-33 1.458841049094124100e-33 5.185738878685074043e-35 1.254651589597895830e-32 6.306923318005720899e-33 2.290511955940237623e-34 1.145053180008260187e-34
-1.996445739999999983e-02 1.084769935220311124e-32 1.528833086528191386e-34 2.619189172945390025e-38 5.706564441245605785e-33 2.319207235977700487e-33 1.902616713488892727e-34 1.465014541397154025e-36
-1.939404429999999971e-02 8.962110602527460220e-33 1.763256629756628070e-32 4.837187481725309074e-34 9.714663758836976529e-35 2.732507016506810252e-34 1.974114189378773754e-33 2.601266601570201177e-33
-1.882363130000000093e-02 1.033053767505814804e-33 2.197774148696045368e-32 5.388719833030658372e-33 1.732208910841151946e-32 5.354001275180829205e-33 6.603498318668466285e-33 1.283277309141126910e-33
-1.825321820000000081e-02 9.155504874056913112e-35 4.462052892133823643e-33 4.692515510340423193e-33 4.206930053714209127e-35 1.641990807989306262e-37 1.500967357883383966e-33 5.152752423490298962e-34
-1.768280510000000069e-02 1.401194929250366627e-33 1.941896396325104366e-32 1.004273779463944675e-33 2.452207679235873359e-34 6.316294610350211388e-36 2.154457572724394904e-33 4.372752824043885816e-35
-1.711239209999999844e-02 3.618594886444413981e-34 2.838183368357383264e-32 8.057578864223804930e-33 1.483963146202943717e-34 1.229613280874642207e-33 7.550414504404619977e-33 2.670989863598590561e-35
-1.654197899999999832e-02 2.599792174340605397e-33 6.965373941232255381e-32 1.704543217566955281e-34 3.956603570172633568e-34 1.647981567557727539e-32 2.002062536357437750e-34 2.085662539994977562e-33
-1.597156590000000168e-02 9.131632896699718870e-34 7.597558847360194656e-37 9.204505827064197191e-35 2.317435450902781881e-34 7.322232787084247243e-33 7.695461296700257750e-33 3.987105938225080661e-34
-1.540115279999999982e-02 9.069520943159293261e-33 1.561458177937962126e-33 1.195475573335723636e-33 7.476581524035071851e-34 5.500222502270021627e-34 3.679863825424433186e-33 1.889587158051318758e-35
-1.483073979999999931e-02 6.258819943419769304e-33 3.836297262582949157e-33 1.173813244024769281e-33 1.192788283805978514e-34 3.365558891033472307e-35 1.594081741297450356e-33 2.277515931116604324e-34
-1.426032669999999919e-02 1.223821652206303751e-33 6.188279915729059575e-35 5.030566956266183412e-34 3.252679574730980159e-34 8.545300014719285797e-34 2.210355163552896420e-35 9.081969240567302656e-36
-1.368991360000000081e-02 4.676522852089648355e-34 1.279305643153081039e-33 1.596108284743998279e-34 1.539657266887537648e-33 7.343297921230638107e-36 1.294349514644814742e-33 1.243518910930154019e-35
-1.311950060000000029e-02 1.780832827089759066e-32 8.009982399600497642e-33 1.257023316023846220e-35 5.540876431614209214e-34 9.213926020849719371e-33 1.743536429956289339e-33 3.077901480572159833e-34
-1.254908750000000017e-02 2.739419367937989205e-32 7.545724659457290564e-33 1.200769199858821792e-34 1.924594359617136515e-32 1.426826358109798405e-32 8.252409740698624708e-33 6.148874889241038132e-35
-1.197867440000000006e-02 6.980154562338474470e-34 2.895618549053075315e-33 6.662980616552422151e-33 1.740237379791892681e-33 2.739569463967591074e-32 1.219473626342624903e-33 6.503480129866841502e-33
-1.140826139999999954e-02 1.434454452227271324e-33 7.005376391600616804e-33 1.164462477527557479e-32 1.942500491740869202e-32 5.422457648919071269e-33 2.421607794726153766e-35 3.485659624621346256e-33
-1.083784829999999942e-02 1.071975478559853701e-32 1.298295765839336205e-32 1.450718577265774379e-33 3.764688475556334664e-33 1.148782959915938066e-33 4.809373242472737038e-34 1.008636738180505343e-32
-1.026743519999999930e-02 7.989307509576889602e-34 1.649631430970833833e-32 2.240291788548889877e-33 1.587425136757136174e-33 3.053243357750160264e-33 8.567505197776829682e-35 4.422738949716570023e-33
